id_class,id_category
2,902
2,2
2,3
3,904
3,4
3,5
3,6
3,7
3,8
4,909
4,9
4,10
4,11
4,12
4,13
4,14
5,915
5,15
5,16
5,17
5,18
5,19
5,20
5,21
6,922
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,44
22,45
22,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
13,62
13,63
13,64
13,65
13,66
13,67
13,68
13,69
13,70
13,71
13,72
13,73
13,74
13,75
13,76
21,77
21,78
21,79
14,80
14,81
14,82
14,83
14,84
14,85
14,86
15,102
15,103
15,104
15,105
15,106
15,107
15,108
15,109
15,110
15,111
15,112
15,113
15,114
15,115
16,95
16,96
16,97
16,98
16,99
16,100
16,101
